Annual_Income,Spending_Score
-5.772477606732309,-4.818215975497783
6.768245950656803,-5.424569774361025
5.796159382274439,-6.239966712993411
7.096021658319073,-5.272611751979644
-5.725560680942528,-9.316889137416556
-6.514347838469613,-8.842653627580383
-9.418437048656108,-3.594182207137671
-9.078976002889863,-5.215924965371257
-4.985928721360708,-10.367566263137626
7.850371355867743,-5.896753125822607
-5.167658579634685,-11.466218741029756
-5.776666516638486,-10.517230706909794
-9.152582473195958,-4.449134249999736
7.260565216528071,-6.45013342819425
6.479672683805225,-5.52498292977978
-3.0897025875752204,-9.855642592937834
-7.095246488896043,-9.53197978487122
7.9946518317581,-7.089269387159306
-4.996636579223275,-10.49392605424421
-6.296303139833391,-10.471188312685856
7.910397245830252,-6.2205820127925815
5.957630209284478,-6.48481792771324
-8.781319204938475,-2.506848128757273
6.215694184499861,-6.521244387924818
-6.096562186553237,-11.489298508808949
-8.284088472425449,-2.886832189568846
9.327599498765323,-4.9987675200966
-4.105847118495224,-10.115835759513388
7.373496094691283,-6.4520974185681
7.730948475713394,-5.639966943599254
-6.828001510346076,-9.652520104525978
-7.071678790104387,-10.349516208891906
7.819693072600928,-5.011751828387515
-6.178830000809136,-10.218163602569575
7.300965908833977,-3.667406683247694
-5.237149345167423,-9.78590465447905
-7.348186708953023,-2.829345555106052
8.027770924433776,-7.617291371115837
-5.838983958287791,-8.895502079112442
-5.611307430631644,-9.386852886108658
-7.151018813470122,-9.097989352432045
-7.62435166174296,-4.840069034787911
-7.556837668862794,-4.810568851778838
-7.8051936795138435,-5.087010562471078
-5.722712854635636,-9.314262056350284
-5.561725635577471,-7.402209391255817
-5.267311978989125,-10.032381434949206
-9.564476701952213,-5.128983742869421
6.3319364099257225,-6.813604605841473
9.266978210225224,-5.844431132755903
7.3006869158300605,-5.899418935093712
-7.624460080994519,-4.152859771751132
-6.365725010899106,-9.73967191004199
9.269014914018706,-4.420430101193653
8.957918557120575,-6.037762714762757
-4.247231259967993,-9.204016993499415
-5.460571641983742,-2.928091395434822
-9.757928553032295,-3.870349010066189
-8.855690456680893,-4.506639543073037
-5.560343544945428,-12.78302323481829
-3.753847925930465,-10.424769820767946
7.010204321161396,-5.8792380092924335
-5.599916609975777,-8.995639924456158
-8.436726711316847,-2.619840102752157
